"Tabela 10372 - Média de horas habitualmente trabalhadas por semana e efetivamente trabalhadas na semana de referência, no trabalho principal e em todos os trabalhos, das pessoas de 14 anos ou mais de idade, por cor ou raça"
"Variável - Média de horas habitualmente trabalhadas por semana no trabalho principal das pessoas de 14 anos ou mais de idade (%)"
"Brasil, Região Integrada de Desenvolvimento até 2020, Grande Região, Unidade da Federação, Município e Região Metropolitana até 2020";"Ano x Cor ou raça"
"Brasil, Região Integrada de Desenvolvimento até 2020, Grande Região, Unidade da Federação, Município e Região Metropolitana até 2020";"2012";;;"2013";;;"2014";;;"2015";;;"2016";;;"2017";;;"2018";;;"2019";;;"2023";;;"2024";;;"2025"
"Brasil, Região Integrada de Desenvolvimento até 2020, Grande Região, Unidade da Federação, Município e Região Metropolitana até 2020";"Branca";"Preta";"Parda";"Branca";"Preta";"Parda";"Branca";"Preta";"Parda";"Branca";"Preta";"Parda";"Branca";"Preta";"Parda";"Branca";"Preta";"Parda";"Branca";"Preta";"Parda";"Branca";"Preta";"Parda";"Branca";"Preta";"Parda";"Branca";"Preta";"Parda";"Branca";"Preta";"Parda"
"Brasil";"40,9";"40,6";"39,9";"40,5";"40,1";"39,6";"40,4";"40,0";"39,2";"40,1";"39,3";"38,8";"40,0";"39,0";"38,6";"39,8";"38,7";"38,3";"39,8";"38,8";"38,4";"39,9";"39,0";"38,4";"39,8";"39,0";"38,8";"39,9";"39,2";"38,8";"39,9";"39,3";"38,7"
"Norte";"40,3";"40,9";"39,2";"39,3";"39,5";"38,6";"39,4";"38,4";"38,4";"39,0";"38,2";"37,6";"38,5";"38,3";"37,3";"38,1";"38,2";"37,2";"38,2";"36,5";"36,6";"37,9";"37,2";"36,9";"38,8";"38,2";"37,1";"38,2";"37,6";"37,2";"37,9";"38,4";"37,0"
"Nordeste";"38,5";"38,5";"37,9";"38,2";"37,8";"37,5";"38,0";"37,8";"37,2";"37,7";"37,3";"36,9";"37,7";"37,1";"36,9";"37,6";"36,3";"36,3";"37,3";"36,8";"36,5";"37,6";"37,1";"36,4";"37,4";"37,0";"36,8";"37,8";"37,6";"36,8";"37,8";"37,2";"36,8"
"Sudeste";"41,3";"41,5";"41,4";"40,9";"41,1";"41,2";"40,8";"41,2";"40,9";"40,5";"40,4";"40,4";"40,3";"40,2";"40,0";"40,2";"40,1";"39,8";"40,3";"39,9";"39,9";"40,3";"40,1";"39,9";"40,1";"40,0";"40,2";"40,2";"39,9";"40,3";"40,4";"40,5";"40,1"
"Sul";"41,2";"41,4";"40,9";"41,0";"41,2";"40,9";"40,8";"40,8";"40,5";"40,6";"40,0";"39,9";"40,4";"39,4";"40,4";"40,1";"39,1";"39,8";"40,2";"39,9";"39,6";"40,4";"39,5";"39,8";"40,5";"39,9";"40,1";"40,4";"41,1";"40,2";"40,3";"40,3";"40,5"
"Centro-Oeste";"41,1";"41,8";"41,3";"40,8";"41,1";"41,2";"40,6";"41,0";"40,8";"40,3";"40,8";"40,3";"40,0";"39,7";"39,6";"40,0";"39,9";"39,8";"40,0";"40,2";"39,8";"40,1";"40,2";"39,8";"40,1";"40,0";"40,0";"40,1";"39,8";"40,0";"40,2";"40,0";"40,0"
"Rondônia";"39,9";"41,5";"38,9";"40,1";"40,1";"39,1";"40,0";"38,3";"39,1";"40,2";"39,5";"39,2";"39,6";"39,1";"38,5";"39,1";"37,4";"38,3";"39,1";"38,8";"38,4";"37,9";"37,7";"37,4";"39,6";"40,0";"38,8";"39,2";"39,2";"38,2";"38,6";"38,8";"38,4"
"Acre";"39,4";"39,3";"39,6";"39,8";"41,9";"38,9";"38,1";"37,2";"37,2";"37,8";"38,4";"36,7";"38,7";"37,6";"37,6";"36,9";"36,1";"36,5";"37,8";"35,5";"36,2";"36,9";"38,9";"37,0";"37,3";"36,5";"37,1";"37,7";"37,4";"37,4";"38,1";"37,4";"36,8"
"Amazonas";"41,4";"42,3";"41,1";"40,0";"43,9";"39,7";"39,3";"40,4";"38,9";"40,1";"39,6";"38,5";"38,0";"36,8";"37,2";"36,9";"37,9";"36,3";"36,6";"34,3";"35,3";"38,4";"37,0";"36,6";"37,7";"38,5";"36,6";"37,8";"37,3";"36,4";"37,8";"37,6";"36,4"
"Roraima";"39,5";"41,6";"39,0";"39,1";"38,9";"38,2";"38,8";"37,2";"37,6";"39,0";"37,6";"37,7";"38,8";"40,3";"37,8";"40,0";"38,2";"38,1";"38,4";"38,4";"37,2";"37,5";"37,4";"37,2";"39,5";"40,3";"39,4";"38,9";"40,1";"39,0";"39,0";"40,3";"38,8"
