"Tabela 10374 - Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente e efetivamente recebidos no trabalho principal e em todos os trabalhos, por cor ou raça"
"Variável - Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Mil Reais)"
"Brasil, Região Integrada de Desenvolvimento até 2020, Grande Região, Unidade da Federação, Município e Região Metropolitana até 2020";"Ano x Cor ou raça"
"Brasil, Região Integrada de Desenvolvimento até 2020, Grande Região, Unidade da Federação, Município e Região Metropolitana até 2020";"2012";;;;"2013";;;;"2014";;;;"2015";;;;"2016";;;;"2017";;;;"2018";;;;"2019";;;;"2023";;;;"2024";;;;"2025"
"Brasil, Região Integrada de Desenvolvimento até 2020, Grande Região, Unidade da Federação, Município e Região Metropolitana até 2020";"Total";"Branca";"Preta";"Parda";"Total";"Branca";"Preta";"Parda";"Total";"Branca";"Preta";"Parda";"Total";"Branca";"Preta";"Parda";"Total";"Branca";"Preta";"Parda";"Total";"Branca";"Preta";"Parda";"Total";"Branca";"Preta";"Parda";"Total";"Branca";"Preta";"Parda";"Total";"Branca";"Preta";"Parda";"Total";"Branca";"Preta";"Parda";"Total";"Branca";"Preta";"Parda"
"Brasil";"2985";"3799";"2191";"2180";"3089";"3920";"2312";"2266";"3193";"4056";"2347";"2344";"3063";"3882";"2265";"2288";"3075";"3986";"2231";"2230";"3049";"3913";"2220";"2279";"3114";"4023";"2304";"2330";"3095";"4004";"2260";"2330";"3152";"4057";"2369";"2412";"3263";"4188";"2505";"2535";"3447";"4425";"2585";"2672"
"Norte";"2408";"3426";"2341";"2089";"2398";"3552";"2013";"2090";"2428";"3409";"2193";"2172";"2363";"3271";"2039";"2134";"2221";"3024";"2099";"2010";"2293";"3276";"2088";"2032";"2380";"3449";"2075";"2103";"2255";"3067";"2086";"2043";"2548";"3559";"2227";"2303";"2476";"3375";"2256";"2263";"2684";"3779";"2432";"2405"
"Nordeste";"1978";"2651";"1791";"1721";"2067";"2780";"1778";"1805";"2137";"2823";"1934";"1880";"2073";"2774";"1813";"1837";"2051";"2768";"1745";"1818";"2088";"2925";"1690";"1822";"2071";"2771";"1868";"1824";"2110";"2884";"1762";"1870";"2072";"2790";"1746";"1850";"2255";"3006";"1897";"2033";"2364";"3227";"1912";"2100"
"Sudeste";"3417";"4188";"2315";"2439";"3543";"4326";"2522";"2532";"3708";"4545";"2525";"2613";"3548";"4325";"2498";"2562";"3609";"4520";"2441";"2493";"3484";"4328";"2441";"2533";"3602";"4537";"2490";"2590";"3556";"4480";"2470";"2572";"3608";"4511";"2614";"2681";"3656";"4515";"2769";"2809";"3841";"4762";"2853";"2958"
"Sul";"3243";"3460";"2394";"2324";"3370";"3594";"2545";"2463";"3447";"3678";"2437";"2544";"3307";"3537";"2417";"2428";"3287";"3542";"2480";"2352";"3319";"3585";"2360";"2425";"3354";"3638";"2530";"2487";"3406";"3687";"2510";"2608";"3390";"3697";"2632";"2577";"3739";"4104";"2848";"2781";"3920";"4266";"2971";"2955"
"Centro-Oeste";"3457";"4470";"2640";"2806";"3512";"4427";"2970";"2900";"3596";"4430";"2875";"3055";"3451";"4287";"2693";"2936";"3372";"4402";"2672";"2772";"3447";"4257";"2843";"2927";"3459";"4249";"2729";"3053";"3370";"4214";"2739";"2909";"3607";"4655";"2936";"3006";"3667";"4737";"3001";"3104";"4012";"5218";"3098";"3354"
"Rondônia";"2508";"3053";"2477";"2204";"2541";"3077";"2211";"2247";"2550";"2932";"2299";"2391";"2611";"3173";"2169";"2373";"2413";"2861";"2516";"2164";"2526";"2925";"2101";"2383";"2797";"3588";"2374";"2436";"2636";"3134";"2398";"2432";"2883";"3562";"2460";"2658";"3067";"3775";"3043";"2775";"3289";"4241";"2926";"2840"
"Acre";"2660";"3589";"2152";"2368";"2512";"3444";"2467";"2242";"2580";"3574";"2249";"2350";"2665";"4044";"2331";"2349";"2470";"3577";"1928";"2268";"2399";"3380";"2413";"2138";"2502";"3246";"2285";"2297";"2554";"3586";"2138";"2303";"2525";"3437";"2039";"2338";"2606";"3646";"1976";"2402";"2730";"3473";"2573";"2563"
"Amazonas";"2755";"4435";"2256";"2285";"2709";"5060";"2491";"2183";"2679";"4570";"2483";"2222";"2619";"3952";"2474";"2329";"2318";"3455";"2179";"2057";"2639";"5099";"2712";"2059";"2185";"3374";"1733";"1950";"2311";"3228";"2286";"2131";"2523";"3825";"2161";"2276";"2359";"3237";"2331";"2197";"2664";"3723";"2418";"2474"
"Roraima";"3169";"4656";"3229";"2722";"3191";"4232";"2266";"2968";"2929";"4181";"2737";"2587";"2980";"4169";"2906";"2639";"3050";"4229";"2709";"2745";"2882";"3694";"2793";"2683";"3258";"4515";"2807";"2932";"2905";"3781";"2162";"2831";"2987";"3964";"2506";"2747";"2850";"3837";"2744";"2568";"3281";"3921";"2582";"3240"
"Pará";"2145";"2962";"2350";"1895";"2118";"3099";"1875";"1870";"2161";"2892";"1948";"1994";"2027";"2770";"1841";"1847";"1968";"2651";"1883";"1814";"1952";"2579";"1857";"1799";"2207";"3252";"1891";"1968";"1994";"2761";"1949";"1783";"2365";"3370";"2072";"2115";"2269";"3160";"2052";"2069";"2415";"3671";"2234";"2105"
"Amapá";"2675";"3642";"2465";"2466";"2907";"3780";"2066";"2825";"2945";"3415";"3197";"2711";"2999";"3434";"2478";"2961";"2917";"3582";"3045";"2669";"3040";"3443";"3166";"2907";"2771";"3633";"2736";"2571";"2572";"3036";"2586";"2425";"3032";"3828";"3135";"2789";"2780";"2945";"2539";"2786";"3007";"3319";"3053";"2881"
"Tocantins";"2412";"3506";"1960";"2052";"2412";"3363";"1767";"2215";"2597";"3711";"2230";"2310";"2635";"3822";"2003";"2340";"2373";"3144";"2074";"2163";"2442";"3197";"1978";"2222";"2690";"3806";"2396";"2322";"2518";"3656";"1989";"2246";"2778";"3743";"2327";"2561";"2801";"3929";"2395";"2509";"2970";"3918";"2558";"2731"
"Maranhão";"1581";"2055";"1453";"1464";"1680";"2105";"1363";"1607";"1605";"2124";"1532";"1474";"1633";"2112";"1438";"1541";"1704";"2321";"1511";"1560";"1730";"2478";"1505";"1555";"1798";"2293";"1550";"1709";"1792";"2362";"1619";"1650";"1973";"2689";"1813";"1806";"2091";"2662";"1790";"2005";"2153";"3027";"1841";"1962"
"Piauí";"1612";"2015";"1263";"1538";"1888";"2623";"1667";"1682";"1789";"2315";"1915";"1616";"1868";"2946";"1597";"1620";"1898";"2781";"1637";"1651";"1830";"2543";"1709";"1624";"1911";"2746";"1575";"1717";"1783";"2527";"1470";"1631";"2310";"3482";"2211";"1970";"2183";"2832";"1883";"2054";"2344";"3442";"1765";"2094"
"Ceará";"2050";"2693";"2058";"1755";"2068";"2902";"1503";"1723";"2040";"2737";"1787";"1726";"2094";"2627";"1976";"1884";"2045";"2783";"1602";"1775";"2148";"2996";"1790";"1832";"2068";"2962";"1687";"1712";"2207";"3182";"1821";"1837";"2030";"2815";"1609";"1766";"2112";"2931";"1868";"1823";"2301";"3034";"2023";"2039"
"Rio Grande do Norte";"2033";"2430";"1842";"1756";"2103";"2388";"2046";"1916";"2196";"2651";"2073";"1905";"2279";"2702";"1917";"2019";"2260";"2689";"1906";"2022";"2145";"2625";"1512";"1905";"2308";"2777";"1824";"2076";"2333";"2745";"1898";"2119";"2346";"2804";"1911";"2118";"2662";"3286";"1826";"2384";"2815";"3521";"2157";"2432"
